DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\networkx\algorithms\operators\unary.py first seen with mtime 1729673575.7044744
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\shapely\coords.py first seen with mtime 1729673599.2873952
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\joblib\_parallel_backends.py first seen with mtime 1729673584.2663066
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\pandas\core\groupby\indexing.py first seen with mtime 1729673641.5138695
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\numpy\_typing\_nested_sequence.py first seen with mtime 1729673567.3040314
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\scipy\linalg\_matfuncs_sqrtm.py first seen with mtime 1729673600.7928443
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\networkx\generators\duplication.py first seen with mtime 1729673575.762474
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1729673619.1298158
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\scipy\special\sf_error.py first seen with mtime 1729673601.1418443
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\AppData\Local\Programs\Python\Python311\Lib\dis.py first seen with mtime 1701687718.0
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\pandas\io\json\_normalize.py first seen with mtime 1729673641.5718503
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\pandas\io\excel\_util.py first seen with mtime 1729673641.5618503
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\scipy\fft\_basic.py first seen with mtime 1729673600.5748444
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1729673619.9387012
