name,lat,lon,hp,tags
パークス野川（【旧店名】野川公園売店）,35.681835,139.524429,https://www.tokyo-park.or.jp/park/format/facilities049.html,"['レストラン', 'おにぎり', '焼きそば', '飲食店']"
トラットリアオルソ（TRATTORIAORSO）,35.661591,139.584534,https://www.sengawa.com/orso/,"['パスタ', 'ダイニングバー', 'イタリアン', '飲食店']"
すし銚子丸調布店,35.647194,139.546402,http://www.choushimaru.co.jp/,"['回転寿司', '飲食店']"
深大寺そば青木屋深大寺店,35.666958,139.548706,http://chofu.com/aoki_ya/,"['そば', 'うどん', '飲食店']"
ホルモン家族,35.661385,139.583847,-,"['ホルモン', '韓国料理', '焼肉', '飲食店']"
いけとっちゃん,35.660809,139.522873,-,"['居酒屋', '郷土料理', 'ラーメン', '飲食店']"
かれんど,35.652443,139.54509,-,"['喫茶店', 'カレー', 'カレーうどん', '飲食店']"
山内農場調布南口駅前店,35.651218,139.544357,https://www.monteroza.co.jp/shop.html?shop=859276,"['居酒屋', '鳥料理', '創作料理', '飲食店']"
甘味an&（かんみあんあんど）,35.653736,139.544724,https://azukiya-ando.jp/shop.html,"['甘味処', '和菓子', 'かき氷', '飲食店']"
中華食堂一番館仙川店,35.661739,139.584991,-,"['中華料理', '飲食店']"
CoCo壱番屋京王調布駅北口店（ココイチバンヤ）,35.654064,139.542877,http://www.ichibanya.co.jp/index.html,"['カレー', '飲食店']"
Bakeryコムギノホシ仙川店,35.664288,139.584106,https://komuginohoshi.net/,"['パン', 'カフェ', '飲食店']"
酒処ぶぶや（【旧店名】ばさら）,35.659866,139.585892,-,"['居酒屋', '海鮮', '創作料理', '飲食店']"
ばち魂,35.659275,139.574829,-,"['ラーメン', '飲食店']"
パラス（Pallas）,35.65147,139.541443,-,"['カフェ', 'バー', '飲食店']"
デニーズ調布店,35.645908,139.561813,http://www.dennys.jp/,"['ファミレス', '飲食店']"
亀乃子本舗（カメノコホンポ）,35.649532,139.557465,http://kamenoko-honpo.com/,"['和菓子', '飲食店']"
カスレ（Kasure）,35.660404,139.582855,-,"['ビストロ', 'ワインバー', '飲食店']"
おいものおうち,35.654186,139.547302,https://oimo-tokyo.com/,"['焼き芋・大学芋', 'カフェ', '飲食店']"
刀削麺大鵬調布店,35.648357,139.543442,-,"['刀削麺', '担々麺', '汁なし担々麺', '飲食店']"
ホルモン本舗昭和館,35.659275,139.574829,http://www.shouwakan.com/,"['焼肉', 'ホルモン', '飲食店']"
牛たん炭焼利久トリエ京王調布店（牛たん炭焼りきゅう）,35.651062,139.545425,http://www.rikyu-gyutan.co.jp/,"['牛タン', '弁当', '寿司', '飲食店']"
支那そば見聞録,35.658897,139.575211,http://chofu.com/units/36243/kenbun/,"['ラーメン', 'つけ麺', '餃子', '飲食店']"
回転寿司たいせい調布北口店,35.653488,139.542633,http://kaitensushi-taisei.com/about/,"['回転寿司', '飲食店']"
如拙（ジョセツ）,35.648975,139.558289,-,"['ラーメン', '飲食店']"
手紙舎,35.654198,139.573532,http://tegamisha.com/,"['カフェ', '飲食店']"
玉乃屋,35.668091,139.549026,http://www.tamanoya.com/,"['そば', '甘味処', '飲食店']"
ホルモンきんたろー,35.651993,139.546371,-,"['ホルモン', '居酒屋', '焼肉', '飲食店']"
インド・ネパール料理Ｒａｊａ調布店（ラージャ）,35.653275,139.542114,http://raja-foods.com/,"['インド料理', 'ネパール料理', 'インドカレー', '飲食店']"
サカナヤアップ,35.661385,139.583847,-,"['居酒屋', '海鮮', '飲食店']"
KaiserChick（カイザーチック）,35.661095,139.523621,-,"['ケーキ', 'ビアホール', '飲食店']"
濃厚つけ麺尚輔,35.653275,139.542114,-,"['ラーメン', 'つけ麺', '飲食店']"
ピント,35.653275,139.542114,-,"['タイ料理', '弁当', '飲食店']"
サイゼリヤ調布駅前店（Saizeriya）,35.650826,139.543777,http://www.saizeriya.co.jp/,"['ファミレス', 'イタリアン', 'パスタ', '飲食店']"
みさと屋野菜食堂（みさとややさいしょくどう）,35.653828,139.547974,http://www.jca.apc.org/~misatoya/,"['食堂', 'オーガニック', '野菜料理', '飲食店']"
大阪王将調布店,35.650826,139.543777,https://www.osaka-ohsho.com/,"['餃子', '食堂', '飲食店']"
栄福記,35.650658,139.558014,http://menya-arie.com/,"['ラーメン', '担々麺', '中華料理', '飲食店']"
サカナノミライ,35.662521,139.547806,-,"['惣菜・デリ', '海鮮', '飲食店']"
CoCo壱番屋調布つつじヶ丘店（ココイチバンヤ）,35.659275,139.574829,http://www.ichibanya.co.jp/,"['カレー', '飲食店']"
麺処かず屋,35.662617,139.583923,-,"['ラーメン', 'つけ麺', '飲食店']"
幸楽苑調布深大寺店,35.677544,139.554901,-,"['ラーメン', '飲食店']"
魚菜さくらざわ,35.653118,139.545898,-,"['海鮮', '創作料理', '日本料理', '飲食店']"
沖縄料理みやらび,35.659538,139.573822,http://www.miyarabi.jp,"['沖縄料理', 'ダイニングバー', '焼酎バー', '飲食店']"
ジンギスカン酒場ヤッホー!,35.653275,139.542114,-,"['ジンギスカン', '居酒屋', '韓国料理', '飲食店']"
マクドナルド国領マルエツ店,35.649574,139.558685,https://www.mcdonalds.co.jp/,"['ハンバーガー', '飲食店']"
